"_id","service","serviceSchedule","serviceDurationInMinutes","repeatsEveryXWeeks"
"5fe53611-a84b-4a2c-80b8-fd031b20a2f7","5fe53611-a84b-4a2c-80b8-fd031b20a2f7","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"60335a9f-fded-4703-8a72-65d0f10aa41b","60335a9f-fded-4703-8a72-65d0f10aa41b","{""mon"":[{""startTime"":""09:00:00"",""endTime"":""09:30:00""},{""startTime"":""11:00:00"",""endTime"":""11:30:00""},{""startTime"":""13:00:00"",""endTime"":""13:30:00""},{""startTime"":""15:00:00"",""endTime"":""15:30:00""}],""tue"":[{""startTime"":""09:00:00"",""endTime"":""09:30:00""},{""startTime"":""11:00:00"",""endTime"":""11:30:00""},{""startTime"":""13:00:00"",""endTime"":""13:30:00""},{""startTime"":""15:00:00"",""endTime"":""15:30:00""}],""wed"":[{""startTime"":""09:00:00"",""endTime"":""09:30:00""},{""startTime"":""11:00:00"",""endTime"":""11:30:00""},{""startTime"":""13:00:00"",""endTime"":""13:30:00""},{""startTime"":""15:00:00"",""endTime"":""15:30:00""}],""thu"":[{""startTime"":""09:00:00"",""endTime"":""09:30:00""},{""startTime"":""11:00:00"",""endTime"":""11:30:00""},{""startTime"":""13:00:00"",""endTime"":""13:30:00""},{""startTime"":""15:00:00"",""endTime"":""15:30:00""}],""fri"":[{""startTime"":""09:00:00"",""endTime"":""09:30:00""},{""startTime"":""11:00:00"",""endTime"":""11:30:00""},{""startTime"":""13:00:00"",""endTime"":""13:30:00""},{""startTime"":""15:00:00"",""endTime"":""15:30:00""}],""sat"":[],""sun"":[]}",30,1
"628a4aec-b652-4068-8a93-f306c19fba9d","628a4aec-b652-4068-8a93-f306c19fba9d","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"660bf4c9-36cf-47c8-a2b0-d206526e192f","660bf4c9-36cf-47c8-a2b0-d206526e192f","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"679d4390-b710-4033-b1f9-fabc9198831c","679d4390-b710-4033-b1f9-fabc9198831c","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"6a1bd467-1639-4aba-a390-c24cefdd7044","6a1bd467-1639-4aba-a390-c24cefdd7044","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",510,1
"71b626e9-afc7-4753-b747-b374a4e2470e","71b626e9-afc7-4753-b747-b374a4e2470e","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"7203409b-1346-46a7-a88c-6d322f265b16","7203409b-1346-46a7-a88c-6d322f265b16","{""mon"":[],""tue"":[{""startTime"":""08:30:00"",""endTime"":""15:30:00""}],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",420,1
"768495fe-e22b-4229-b832-f2108550250f","768495fe-e22b-4229-b832-f2108550250f","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",60,1
"76b40676-501a-4370-b2ce-af5fbac40128","76b40676-501a-4370-b2ce-af5fbac40128","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
