"ID","Title","Description","Background Color","Text Color","Icon","Role ID","Slug","Created Date","Updated Date","Members"
"_id","title","description","backgroundColor","textColor","icon","roleId","slug","_createdDate","_updatedDate","members"
"Text","Text","Text","Text","Text","Image","Text","Text","Date and Time","Date and Time","Tags"
